Id,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
0,1,21.492416709,22.4754950828,4.05116769415,6.02355758977,5.05260068755,5.66439074223,3.57720607693,5.07769705086,22.0712417296,16.96049374,30.8626263399,32.0551501439,32.0551501439,23.9385470141,34.3755287733,35.5547140744
1,2,25.0624307325,8.29597891128,2.88020057974,4.01883922978,6.35945992584,5.75685481183,3.56009520152,5.41784286999,29.9257788932,14.1617649968,29.4390558153,33.1112049878,33.1112049878,22.4552042516,41.4920998921,34.2480148227
2,2,35.1376875323,19.8406809355,3.94305522208,5.15826495691,5.40176559745,4.07794026665,4.74166113049,6.2791940696,27.5850165251,19.707357001,30.4475982992,16.5994244817,16.5994244817,23.4210092064,29.1715140766,34.2345871202
3,2,16.4519585591,14.1964417429,4.60001858157,5.23127830947,5.30427515275,6.07544832537,4.34084099043,4.55439888355,28.7320524389,13.3348581934,22.7423254514,36.8809000175,36.8809000175,31.4388630008,28.0459100833,20.4875026076
4,1,18.8047612717,34.8984492371,5.48722619026,6.31940014274,4.76549385969,5.74706263087,4.25368638424,4.8057623644,18.4700045505,23.1705494358,29.8186081089,32.9985565464,32.9985565464,31.033531832,32.0564171722,33.7217450319
5,0,37.1018864127,24.7102279533,4.00742993084,4.75680779017,6.60455442126,3.32699103975,4.53236667853,6.43369855092,29.8481236251,22.3988299624,19.7125701925,11.0386970418,11.0386970418,29.8495386033,33.9016844025,49.0828603501
6,1,29.5200234047,23.004284962,4.23170759619,4.30387089035,4.18739077351,5.23048781446,4.87565091288,5.8146895047,29.1727977601,19.9990471869,32.4159684933,27.3278304405,27.3278304405,28.5878417419,20.4970622673,3.24424785009
7,1,24.8737819709,24.3996123371,4.11172820287,5.48959231161,4.64877010539,4.90686400768,3.43860471693,5.40040485541,28.2034568848,19.8454255151,27.0367608668,24.0471420532,24.0471420532,25.1421211941,17.9816518875,16.6408127448
8,0,42.6565826981,22.6783246274,4.49412613615,2.64178497353,3.6642097073,3.89303075746,4.44881749809,6.85180073626,24.250999614,43.2023377441,27.9077604171,15.1255161418,15.1255161418,14.9095165822,15.2968228841,-8.65702583141
9,2,35.0361918432,29.2560633705,4.90341933689,3.37359923823,4.3237421179,5.25126132441,4.0737864634,6.27110695768,29.530750315,18.6111000355,17.9683354228,27.5455731605,27.5455731605,21.5339586847,27.2846049506,3.84583204312
10,2,19.339853983,28.2401940167,4.42619556512,5.27540299279,6.17669828625,5.25846627247,4.5634572201,4.86111557304,27.6841024127,22.8584020493,28.2462983614,27.6212952019,27.6212952019,23.4648651982,28.1968808428,33.8593958699
11,1,21.1039244806,28.9471077159,4.98619715533,6.217381793,5.12128638176,5.10265145271,3.14638460688,5.03929708511,24.4722271942,19.2333764391,28.9628385443,26.0068795111,26.0068795111,23.950328665,25.1333040006,33.3327196253
12,2,20.0297619012,30.4296812225,3.88339916645,3.90210134253,5.40192899578,6.33972360024,4.54941460527,4.93156694495,23.435432488,27.2315349121,30.7269896321,40.1619229908,40.1619229908,29.5307831538,35.492745851,14.2862697452
13,2,32.029568934,22.3806439986,3.74725317249,3.33623587453,5.31358440417,5.4122296871,5.12418529406,6.02662090772,34.896294001,7.97707089617,30.3286939561,29.2620578492,29.2620578492,20.4053380611,31.432317847,13.9995627634
14,2,15.937386784,30.9825316386,4.15664123249,5.31058400701,5.85432744587,6.06082743296,4.15297082013,4.49755238051,24.8762585044,19.900408018,30.1230324103,36.7034568354,36.7034568354,26.4236844859,34.4759389292,31.5740742207
15,0,38.0631419159,20.2464352612,4.65591901531,4.39634746464,6.26402662797,3.40282882243,4.84467391555,6.50797453493,25.0737285461,34.4600695172,26.1583174745,11.5490716581,11.5490716581,32.9259104861,32.2412866032,40.3142166908
16,2,32.3879608238,20.4589102516,3.34213606449,5.45300118024,5.55684715177,4.29506669872,3.1898503927,6.0562819828,25.242227446,21.7847011088,23.7037169173,18.4174256097,18.4174256097,21.7554817836,31.5422509365,39.3050617555
17,0,30.2035469227,23.6576113189,4.78026772363,4.52587067789,6.0766458402,4.31000734701,3.25748884525,5.8731709965,28.3712130504,27.9291924288,27.7391039031,18.5459909946,18.5459909946,22.0690144786,27.0032940209,30.6351760457
18,0,29.8313307634,25.5124538491,2.85851462274,5.65947923703,5.28606866613,4.78816653877,4.3364216794,5.84139721255,15.9667925158,35.3029653623,33.6123268358,22.8963664663,22.8963664663,20.2405893289,36.3563176667,40.1821128346
19,0,39.5343829221,29.7446203747,4.62091564607,4.28533934978,5.18196205553,4.47841674825,2.7958050186,6.62004331961,29.240623924,14.4007281401,22.129566925,20.0260442343,20.0260442343,26.0556456066,34.789197207,28.3142936956
20,2,22.8286653796,16.7379250246,3.50807347511,4.56977418196,5.67005724944,5.66684068296,3.9059012623,5.20761519422,25.028514905,25.2548758394,32.9990434622,32.0829109893,32.0829109893,29.2710928994,32.8635938011,24.4604565947
21,2,29.8363195707,26.0198178736,4.54989597122,3.8900876279,3.66067455115,5.75864150504,4.06492031824,5.8418242187,27.4199084446,18.792546018,28.4254928807,33.1317796468,33.1317796468,23.576461662,25.214910837,-2.13786526151
22,2,15.0553050886,32.2762029738,3.58689568779,5.26887746361,5.37868621293,6.16397592855,3.5543036563,4.39839694888,23.7016697677,23.2473824551,23.3711063378,37.9644269111,37.9644269111,21.3055836513,30.2031469293,22.2456034271
23,1,22.3108392065,17.9963565742,3.96761311574,6.05073033614,4.15419932141,5.38144031382,3.8735416681,5.15765739827,22.5211261711,21.0201819009,26.5423287972,28.9297275145,28.9297275145,30.8031104841,23.1780621851,21.0492489998
24,2,18.5349396126,24.4273531466,4.37802609995,5.22130825081,5.81497096803,5.88605215024,2.74672132676,4.77760716719,28.5627448498,13.0015339014,22.8230657186,34.6154375787,34.6154375787,30.2912164037,33.3100841524,30.976048119
25,0,37.2494146066,16.8744593673,4.24722491161,4.89506758449,5.233562144,4.79378307663,4.88464496381,6.44515362408,29.1073437093,7.02925973648,26.6305468109,22.9501838491,22.9501838491,28.9431726961,39.2583172854,36.5437331999
26,2,39.2577092582,19.1775947181,3.3536143484,3.82913165118,5.87946690805,4.78059486279,4.02413424171,6.59911356847,29.7755371329,12.0416218626,24.5952933539,22.8239149054,22.8239149054,22.7740744875,43.5743985538,37.1790930652
27,1,30.0844734312,20.5907623318,3.5162355616,6.13915748041,4.89933627983,4.24763247041,3.54510570067,5.86302516305,25.2231474542,18.2154228416,29.1544222814,18.0122092669,18.0122092669,23.6785385511,25.1191576953,35.9510853654
28,2,35.0202894655,31.2638300978,4.60978683729,4.62155788696,5.89550536286,4.22464865983,4.88132573332,6.26983892113,31.6092609262,14.7633206905,25.8711850353,17.8174839623,17.8174839623,23.6562811556,31.5217238169,35.2223689505
29,0,29.4241243876,22.2751689468,4.19394044233,4.08638458963,5.30796723038,4.80365468882,2.88961794207,5.80643737752,28.00861242,29.0099027367,23.8553251741,23.0449260327,23.0449260327,23.8622057111,22.7009871792,13.7510036266
30,1,20.486096732,26.6087261869,4.29478521951,6.44896430397,5.1070623148,5.77497359823,3.86597209987,4.97761864383,21.0811496066,12.2976464978,30.8161797288,33.3201477235,33.3201477235,21.864342918,38.5916858181,44.2095081576
31,1,42.7967795323,24.0984520734,3.36660270002,5.86247315079,5.48160357983,2.74687831751,3.64494841922,6.86202376589,29.6810547826,9.0042293056,24.4594274201,7.51516815452,7.51516815452,17.5799786422,32.4995383534,51.4649445904
32,2,29.1858188309,30.1387776064,3.52179993195,4.39669724091,5.07668632829,5.24591589546,4.81817640459,5.78588018043,32.6572657657,10.6038390417,25.5700426034,27.4894612455,27.4894612455,26.5309300032,26.9394788863,16.484878879
33,1,23.4648907221,18.9964175175,4.61958217943,5.73272300638,5.23429970451,5.53888537061,4.0793929056,5.26834711778,21.16554778,21.5353608276,20.1386627351,30.6490788121,30.6490788121,20.4941813211,35.6638354584,35.6658404699
34,2,34.2872240033,22.0841939092,2.6509972608,4.94069342876,6.07772751987,4.44306904086,4.31517958052,6.21110413974,30.1214164026,11.9636875366,17.261124173,19.7106901651,19.7106901651,21.8786005,37.6111290835,44.2687588115
35,2,42.1573970014,16.9087002278,2.83747136123,4.1756797208,6.07859044711,4.09517872223,4.63221966323,6.81527604964,33.0936567443,6.77771200176,20.7093273731,16.7403164303,16.7403164303,23.7647419235,41.4542478907,43.652836628
36,0,37.0524647635,32.9214473052,4.17704849184,4.14355932416,5.11753020102,4.39142987482,3.81184365612,6.42985656099,28.6145814146,22.0921399143,28.7720064756,19.2544840088,19.2544840088,33.1516485105,28.157041241,20.6090213077
37,2,27.7310314369,21.2792137337,4.06569477424,4.78106962672,5.87607182848,5.11738970267,4.42806692719,5.65876506566,31.2338364429,11.8493480588,17.7350691636,26.1575050323,26.1575050323,26.2531072565,32.9382424616,32.581158223
38,2,33.8943277467,22.139243429,3.63080320157,4.2245297222,5.82899779452,4.39405095112,4.61880356043,6.17939466113,32.8044288159,15.9765352856,26.6762617361,19.2775114243,19.2775114243,20.7608170516,28.6924500748,27.7832755611
39,1,29.1181000867,22.5633198035,4.31247404428,5.37659741282,5.02550404396,4.98739588337,4.04446369679,5.78002514857,28.8976567668,11.4911703026,21.724348876,24.8439453608,24.8439453608,29.1724234615,29.0604722781,28.5083053549
40,2,28.3185288183,30.2874431329,3.94131753951,5.38261237331,5.49044381752,4.49449157009,4.35761089046,5.71043951458,25.7795449283,25.1221414868,26.2643528266,20.1702821369,20.1702821369,14.6754578003,25.9236339463,31.5092253528
41,0,36.8197961426,31.4865283559,4.48305262353,4.43492845229,5.99187407512,3.82250517916,4.05798555238,6.41173820223,27.2215696354,27.6059450786,28.5048289417,14.581373508,14.581373508,24.3812856868,31.2246210018,35.6353224481
42,2,27.4972278332,25.8085856239,3.86584259974,5.48615426857,5.34336919182,4.56447322596,4.52265514235,5.63806868215,21.4959630337,33.0252693872,28.8630433945,20.8042434938,20.8042434938,30.2434125485,26.2979833223,30.8970391574
43,0,32.129523143,29.6773692343,4.59480641499,5.5619900442,5.05090229381,5.34900204001,4.62500524944,6.03490793421,29.8633635907,-3.1512115692,24.6951876742,28.5816504873,28.5816504873,23.2314203896,41.3367464209,40.4310520777
44,2,27.6940956687,18.1309816865,2.99939805369,4.5735196324,5.74434803169,4.90362414279,3.79522363483,5.65550053488,30.3364355869,19.5786399653,22.7810234944,24.015357397,24.015357397,21.9845444227,27.2500933976,25.3093194884
45,0,33.7530286133,27.0417429281,4.38646277175,5.79639581372,5.27490373709,4.99328033406,4.65547127066,6.1679509762,24.7045658848,6.95726566665,28.9699164847,24.9026761578,24.9026761578,22.8741225856,43.9076266598,48.8056413227
46,2,25.5042825321,24.5115446474,4.3189069199,5.0576030455,5.66946991413,4.79369037831,4.19609142779,5.45846802349,25.1855070263,29.7072506684,27.9887380139,22.9492951064,22.9492951064,26.3669324248,25.5697327219,27.5282548786
47,1,22.5987042888,19.923137589,3.70389476787,6.09231285045,4.06635047666,4.82732543086,4.20792849398,5.18548887957,20.3723804968,33.2566545415,29.9529361159,23.2728984787,23.2728984787,26.3395191129,15.0672656739,16.355705547
48,1,19.8626626353,29.7812328195,2.78083741509,6.54832623704,4.10477484011,5.76863459808,4.27151227955,4.91459594135,18.9954777255,17.9795887772,30.3598293789,33.2469727894,33.2469727894,28.8581329701,30.3845918122,30.6437786722
49,0,33.9606015362,19.7973755387,4.97577072714,3.86789818371,5.4594417797,4.46565947814,2.96808383182,6.18475481872,32.3395657223,20.0056846709,21.7780536556,19.911942238,19.911942238,24.768116932,24.4755235733,17.4954532614
50,1,21.0998179455,21.2803674551,4.49591013721,6.47502853875,3.883341718,6.01007682086,4.18832827738,5.03888961746,19.8514840922,11.4511769763,23.9208696163,36.090851056,36.090851056,29.9679500493,34.5827548771,30.9208043333
51,0,33.465772835,30.5394636137,4.37380485226,4.58954514114,5.56148275811,4.28853641901,3.3349696296,6.14462069345,19.1504174788,42.4393854418,31.1933665183,18.3613722805,18.3613722805,19.9514641667,30.6731535193,29.5385967018
52,1,30.3816213003,19.7985860543,4.72169782628,6.28999909663,4.61846687355,3.79334538108,4.3222281609,5.88831146694,25.2539187195,21.7804120795,20.7700306622,14.3592968435,14.3592968435,20.4436419182,18.3946254799,31.5453161648
53,0,31.3951150705,24.3588168023,3.75992012478,4.47675724583,5.73096423432,4.38845295961,3.81559383719,5.97375139271,23.3973153115,36.4387417328,25.2779631818,19.228347042,19.228347042,29.1323309574,28.0226441147,27.2919078159
54,0,30.2407451214,32.2230987161,4.5884531637,5.25234768028,6.52728869299,4.00803107853,4.4239332682,5.87633693323,26.7594113276,25.6813666951,33.8709662906,16.0341407898,16.0341407898,23.8301918285,33.0110435724,48.6834446928
55,2,20.5712786206,27.3188073047,4.33697862889,5.61013765048,5.61552532524,5.10587599449,4.45591986954,4.98616779221,24.1564857626,27.7526398188,22.4308911819,26.0397973344,26.0397973344,29.4477666007,25.1340633071,30.2010145565
56,1,27.0352841087,26.3627455497,4.37114818489,5.76120856913,4.6636588263,4.75046846544,4.88726641701,5.59695227245,25.8491712304,20.1429264753,22.9446665777,22.5367783045,22.5367783045,14.8079783822,22.1187410389,24.3666093444
57,0,40.9273927544,31.602779803,3.89598926973,3.79329848228,5.78515070914,3.68216028177,3.48731445353,6.72443182624,33.0229074454,17.9704246774,26.4861906384,13.5281320039,13.5281320039,21.1386897877,29.2191949127,28.2996018528
58,0,38.3511982399,30.439086748,4.2704466801,4.55608580317,3.4599630672,4.43555544077,4.75750600188,6.53006806023,26.5116387022,22.605991652,26.3177347492,19.6439797314,19.6439797314,29.2018845156,20.7690747765,6.21222330516
59,2,30.7943574566,35.0415697917,4.14965419359,4.62693293229,5.80921781313,5.07819194956,4.62485931344,5.92325485591,25.8766499961,20.4680293981,29.2255461139,25.7578611399,25.7578611399,29.3235446034,38.1067167251,35.3204157787
60,1,27.0756182243,31.3857420648,3.93343788277,6.15879724586,4.14514072843,4.2915617618,4.41046215096,5.60055433468,25.5517374629,22.6318018474,25.2890369822,18.3873300186,18.3873300186,26.5409934674,14.1786009299,20.4228751775
61,2,20.2483099301,19.605112649,3.21109785126,5.47911365215,5.9298958374,5.47589537246,3.07408459606,4.95367545985,30.5216364741,10.2755152722,25.8753332998,29.9552577934,29.9552577934,20.6554854146,30.9472660624,35.4056566955
62,1,34.3022449078,30.8375978601,3.44702151696,5.41594240118,3.81970317829,4.18501296242,3.97548704106,6.21231321966,26.2209686055,22.2398862933,35.030509923,17.4841611589,17.4841611589,28.8489181481,17.7307269655,14.5548635617
63,2,39.4725764394,24.6600641209,3.89129384269,4.13622251391,5.94673903485,3.91704794529,4.942331638,6.61537353978,36.0597035943,7.76527493676,25.0498842086,15.313092269,15.313092269,21.096634388,31.7120737157,33.918736593
64,0,37.2527726364,23.9766875967,4.46675124821,5.24347649777,4.84696651541,4.67959397439,4.43857891157,6.44541412695,25.4695639942,12.7755815346,25.1273905592,21.8684274285,21.8684274285,31.4478209824,37.3439068249,35.5023715729
65,0,28.0406565427,25.5073841188,4.3549861013,4.80642874877,4.59582719161,6.04202314349,3.34425739608,5.68605726089,31.6160238344,-2.88492748028,22.4837872907,36.4758713298,36.4758713298,29.2733514694,37.5855616694,21.4451659186
66,2,35.8545415278,23.8134013212,1.70979072053,5.2800556594,5.31755119621,3.97999945735,4.47556812492,6.33601863627,23.1399226822,27.5229311971,29.2814133723,15.8102233438,15.8102233438,20.6360142815,30.7372103091,36.2947919706
67,2,28.0088479134,39.0644466766,4.35652993663,4.2599270855,5.50500816146,5.37939862191,3.71611697884,5.68325950004,26.0912845286,23.7887154723,16.2413374553,28.9077571967,28.9077571967,24.2931819535,33.1383818157,22.9540769831
68,0,32.9260399616,34.8119965577,2.21143260508,4.32804374211,3.96658569644,5.06971649912,1.43117668447,6.10054346702,28.2980894571,19.3483522215,29.1547283097,25.6718530448,25.6718530448,25.6888242208,22.5779537804,5.14714359225
69,1,21.5009639023,21.3672117921,4.30780802264,6.42544692091,4.6250618462,5.57765490575,4.34336836669,5.07853862186,21.108672359,15.5170812635,28.1285012838,31.080061911,31.080061911,26.2812564894,32.258086974,35.8014815756
70,1,7.34643096575,27.1212432635,4.02763383906,6.23412455715,4.61301063108,5.6733922879,3.83871010937,3.41130790125,28.0330168918,23.9766660747,31.8201564896,32.1572077157,32.1572077157,24.6586479436,5.16725013503,6.99952561012
71,2,39.8229716161,22.8304830785,5.32935844337,2.88919130331,5.77726859707,4.88614381601,4.27710519613,6.64180414101,29.5430522235,17.5692176137,17.2237887736,23.844229054,23.844229054,28.069608992,41.5330127743,27.6610472155
72,2,20.881564617,18.0272698979,4.55016456131,4.42045180522,5.71243905136,5.99451959291,3.774171543,5.01718598902,31.2306878526,11.2179976942,28.5272120037,35.9040928131,35.9040928131,23.2649006397,32.9080391477,21.9220602989
73,2,36.5875429787,28.9787135482,3.94272323804,4.0494691799,5.47347340604,4.24948964754,4.6116377349,6.39360098928,32.6684455777,16.6422401046,32.0310745364,18.0279899278,18.0279899278,16.3971402665,26.8938206091,22.5696379957
74,0,35.0002709055,25.2326188528,4.57147095728,3.46041896375,3.65477131159,5.21652484431,2.85181452923,6.26824230043,26.8095496392,25.1302136733,22.7149974575,27.1819591146,27.1819591146,18.9038389508,23.0759536,-3.59901634863
75,1,21.7120845375,27.9867715185,3.33649262475,6.17033553319,4.72575103534,4.63183940139,4.17550058857,5.09928182874,28.5095132352,18.7919102762,31.3434129636,21.4237639036,21.4237639036,17.2090027787,13.4032799497,21.8895556476
76,2,21.9663968284,25.004849751,4.24342596545,4.88233413578,5.80633560832,5.58459394425,2.82558926354,5.12415724386,31.4901307422,11.2781742557,17.4030804274,31.1575171855,31.1575171855,28.3267071218,30.5918419229,27.5163424822
77,1,30.5535673528,27.3050836169,5.03217901695,4.45077503724,4.79575883969,5.17439492762,4.6016831287,5.90289403464,26.293776731,22.5299602917,23.2002673878,26.7441905303,26.7441905303,24.2386103152,28.2481196232,15.9543752517
78,2,19.0327359636,20.891772377,3.15082250321,4.69929162094,6.21734798693,5.61842054148,4.31569934767,4.8294230085,28.0463155067,23.0039252747,21.1645438789,31.5364770442,31.5364770442,30.695257853,30.9342019141,29.0210069184
79,2,35.196885572,19.2223805607,4.0466203088,5.0619075205,5.63168390417,3.47392432263,4.75517792365,6.28390612624,34.6612266413,13.0695979332,19.4592602693,12.0379778626,12.0379778626,26.3334390441,21.08471486,30.8909980678
80,1,22.8465727456,16.5151562333,3.51859625674,5.61656671481,4.54440014648,6.52092066745,4.05804036311,5.20933425468,18.3348424994,12.6950398968,24.3526877171,42.4922340144,42.4922340144,31.9552710554,47.5985972958,33.5561072838
81,1,28.1059114079,19.5135824725,3.64694117772,4.87827139224,4.94597282079,5.1457496504,2.78400603179,5.69179251548,29.3154327152,15.7084501858,31.4819316144,26.4485671279,26.4485671279,25.9702811228,26.0193533824,19.1471101278
82,2,38.1189713149,23.5119716504,4.48464408234,4.83731680714,5.52698100552,4.16483686837,4.089958244,6.51226242917,28.5976840114,15.4791219037,28.1407719914,17.3156938034,17.3156938034,9.55430141617,34.5498662618,37.1051448236
83,1,26.9555131282,21.9867241531,3.19735974012,5.24885349139,3.93969120457,5.75437147414,4.22184007131,5.58982144255,24.626314594,14.1252153173,21.2443827943,33.0826187256,33.0826187256,14.2670604185,30.2940551864,15.8379106018
84,1,20.3956269099,19.6739261653,3.76503612903,6.13326762807,4.08957200684,5.96845785882,3.50724443044,4.96852267192,22.1839911554,13.1931682565,25.5343411321,35.5923168758,35.5923168758,32.808180435,30.7082051113,24.7843100742
85,2,37.9530306205,27.3206368924,2.64618991897,4.74271185076,5.88460737236,4.03583607505,4.21420585367,6.49950930855,32.0500726686,10.6187729895,30.6020366803,16.2578004879,16.2578004879,16.3632572763,34.5145826703,40.1827849963
86,2,37.9182921856,25.0380913571,4.78183476231,4.66858705524,5.5929073503,3.96526009764,4.33690881049,6.49683636988,29.8326297855,17.5023784948,21.9223268942,15.6931153052,15.6931153052,21.8633052505,30.8898954672,33.6791478583
87,2,31.0921194287,10.8208512911,4.0134169804,4.56036644333,6.42944869408,4.41079030433,4.62267876178,5.94833674737,36.1408015562,8.33138576669,26.8814400095,19.4248987721,19.4248987721,24.6136206556,31.287043497,38.6536668069
88,2,30.5745927454,28.7237942177,4.45131074171,3.78538542724,5.15992396917,5.47195401452,4.84553759551,5.90467470541,27.5173164463,20.6556689567,23.2922814719,29.9121084003,29.9121084003,19.5543182252,33.0772174779,16.2052083794
89,2,37.9353784374,23.1031907632,3.6989020569,4.51068869718,5.6904139347,3.99634548011,4.71414697262,6.49815120391,31.3821560488,15.4109004842,20.2494194609,15.9406048597,15.9406048597,26.124743098,30.9109263267,33.1338839364
90,2,31.9687538451,28.1268650329,3.09054373594,4.46326777953,6.21388939194,4.64194885999,2.73674959304,6.02157325593,37.7638542012,2.07657125202,27.8773155555,21.517516882,21.517516882,30.262733528,32.5260202744,35.9909120483
91,0,32.8013908662,21.7163866964,3.84788418797,5.91263042715,5.95200794236,4.12498054927,3.92980184838,6.09031866962,14.3488624506,38.3514738749,25.9105474682,16.9852921952,16.9852921952,30.0171604661,41.3045483239,56.6379466171
92,0,31.928956176,29.3591827443,3.60556429982,4.99551122791,4.12020710445,5.33862212571,4.35934782088,6.01826775803,27.020726536,11.6737699937,24.0276457473,28.4707138644,28.4707138644,21.8737689374,30.5385865126,17.8355599148
93,1,41.8218174907,28.8038724275,4.26897000003,5.69058022902,4.4781107798,3.17539885788,4.3135112165,6.79061176347,25.9203238071,18.4489611915,25.2387083454,10.0529855699,10.0529855699,27.1113483228,25.8910816026,33.9670051819
94,2,17.9774904297,31.6798971803,4.0447148055,4.77799866029,5.69873939058,6.00268326292,4.26045019705,4.71890676545,23.0503858635,28.1346355045,37.2776981101,36.0020340182,36.0020340182,25.0868502904,32.8389348693,23.8082849064
95,0,34.7475952762,25.4958233025,3.51265068109,5.14303780329,5.47837773136,4.31997403243,4.09934823279,6.24805456983,21.3550210975,29.6729791504,27.3141915451,18.6320033042,18.6320033042,20.4782316359,34.7730549624,38.1323718086
96,2,25.1506118729,27.5578251873,4.85530377443,4.77795945741,5.38878417533,5.37985500895,3.99108100561,5.42597479761,27.845573073,19.4374636152,25.7166310987,28.9126675806,28.9126675806,28.0925573465,29.0296216474,22.6868076255
97,0,38.7400917278,26.724931225,4.39603587103,4.68093120567,4.81108285012,4.12278268604,4.22265687123,6.55977761507,25.430398556,24.7026691145,17.1435261473,16.9671647396,16.9671647396,27.5064286974,28.5705149506,24.4205580218
98,0,44.420931613,26.3444705206,3.84268310816,3.69936158239,5.17500647424,3.59375516243,4.18839197704,6.97936402865,23.5926528346,34.8831856608,23.3915801118,12.8849038308,12.8849038308,20.9013144713,31.2572053187,24.1547511242
99,0,34.5485758484,20.1044109494,3.82612235243,4.40425430227,3.66829538769,4.94332333373,4.47745863284,6.23210770765,26.1872945932,22.8303370822,25.6162757244,24.4062732451,24.4062732451,20.8411830859,22.4605396741,4.59255858713
100,1,19.2352761074,21.2869052132,3.61932738137,6.16922837041,3.99608493909,5.61230654963,5.08609133673,4.85034707405,19.4109081478,26.5606675996,23.6957600209,31.4678124703,31.4678124703,31.2623563663,22.6895931721,19.0572270037
101,2,24.0095978363,15.5718452301,4.24174543673,4.89052521061,5.69298240209,4.7812147618,4.19619192136,5.31979214516,30.0926884225,24.1207858413,23.5992234766,22.8298422618,22.8298422618,20.9505166066,20.2058035308,21.5476227146
102,1,17.7289254628,26.1307411426,3.83885690271,6.41887408759,2.62576868659,6.15713613388,4.29481867125,4.69249572128,16.2020209422,23.6072519823,27.8214900453,37.8801530344,37.8801530344,20.2548606836,24.9549525073,13.4224589318
103,1,28.3379173097,26.8502817336,3.98076492034,4.8164565378,4.99777596091,6.07941045051,3.35169771343,5.71213689796,22.1107331861,14.1658861152,24.5522124926,36.929059089,36.929059089,25.6935408988,46.0367770229,31.1120380351
